MusteriKodu,MusteriBolge3,MusteriBolge4,SatisKanali,MusteriUnvan,MusteriTabelaAdi,MusteriCesidi,KoordinatX,KoordinatY,MapProfileScore,MapPopulationScore,Mapin Segment,place_name,visitor_count
433336,Istanbul Anadolu,KADIKÖY,MODERN,KARIN TURIZM PRODÜKSIYON REKLAMCILIK VE ORGANIZASYON TIC.LTD.STI.,FLU PUB,Modern Pub & Bistro,'40.98616300,'29.02645200,"66,6139","62,9557",D3-C,Punch Flu,62
919132,Istanbul Anadolu,KADIKÖY,MODERN,KUZEY RÜZGARI YEMEK ÜRÜNLERI SANAYI TICARET LIMITED SIRKRTI - MERCAN,AYI KADIKÖY DISCO BAR,Modern Pub & Bistro,'40.99029300,'29.02281200,"78,0058","92,3664",D1-B,Ayı Bar & Disko,61
711210,Istanbul Anadolu,KADIKÖY,MODERN,DIBAN TUR. GIDA VE SAN. TIC. LTD. STI,ZURICH BAR,Modern Pub & Bistro,'40.98769480,'29.02574940,"66,8182","65,6727",D3-C,Zurich Pub,61
704668,Istanbul Anadolu,KADIKÖY,MODERN,Sahmad Turizm Gida ve Tem. Mad.tic.ltd.sti,LOCHNESS,Modern Pub & Bistro,'40.98718810,'29.02588680,"78,8644","64,6278",D3-B,Nana Pub,59
848042,Istanbul Anadolu,KADIKÖY,MODERN,RENKSIZ BAR EGL. TUR. GIDA VE TAS.TIC.LTD.STI.,ILK VAPUR,Modern Pub & Bistro,'40.98854231,'29.02364994,"66,9152","65,2391",D3-C,FIRST FERRY CAFE BAR,59
702282,Istanbul Anadolu,KADIKÖY,MODERN,FIGMENTAL GIDA TUR.ORG.MIMARLIK HIZM.SAN.TIC.LTD.STI,ATLAS MÜHÜRDAR,Fine Dining (D.Mutf-Sar.Evi),'40.98849754,'29.02300727,"92,0505","65,0701",D3-A,ATLAS mühürdar 78,59
1000029447,Istanbul Avrupa,BEYOGLU,MODERN,UFO RESTAURANT INS.SAN. VE TIC.AS ,MUUTTO RESTAURANT ,Modern Pub & Bistro,'41.02724710,'28.98554970,"91,9451","67,2007",D3-A,Muutto,58
433337,Istanbul Anadolu,KADIKÖY,MODERN,ONAT TURIZM SANAYI VETIC.LTD.STI.,LIMAN KAHVESI,Modern Pub & Bistro,'40.98604200,'29.02640600,"65,1188","64,5233",D3-C,Punch-Port Coffee,58
908220,Istanbul Anadolu,KADIKÖY,MODERN,FIL RESTAURANT GIDA TURIZM LTD STI - FIL RESTUARANT TURIZM,FIL MUTFAK,Modern Pub & Bistro,'40.98673200,'29.02550500,"77,3717","78,5632",D2-B,Fil Pub Moda,58
892928,Istanbul Anadolu,KADIKÖY,MODERN,DORA DEKARASYON ISL.SAN.DIS TIC.LTD STI,NOAH,Modern Pub & Bistro,'40.98803272,'29.02510182,71,70,D2-B,Dora King Gastro Pub,58
942616,Istanbul Anadolu,KADIKÖY,TRADITIONAL,VIRA YIYECEK VE IÇECEK HI LTD STI,DUBLE MUHABBET,Geleneksel Meyhane,'40.98705700,'29.02550400,"79,0907","77,2978",R2-B,Duble Muhabbet Meyhane,58
884324,Istanbul Anadolu,KADIKÖY,MODERN,PIA PUB- ONUR KAYA,E-5,Modern Pub & Bistro,'40.98848410,'29.02360992,"66,2786","64,7423",D3-C,E5 Pub,57
862533,Istanbul Anadolu,KADIKÖY,TRADITIONAL,BENUSEN GIDA RESTAURANT SAN. VE TIC.LTD.STI,BENUSEN RESTAURANT,Geleneksel Meyhane,'40.98951000,'29.02247700,"66,7103","91,0489",R1-C,Benusen Meyhane,57
907324,Istanbul Anadolu,KADIKÖY,MODERN,FIL GIDA REKLAM INSAAT PAZARLAMA SAN.VETIC.LTD.STI - FIL PUB,FIL PUB,Modern Pub & Bistro,'40.98760600,'29.02594700,"66,7178","63,7613",D3-C,Elephant Pub Kadikoy,56
1000020288,Istanbul Anadolu,KADIKÖY,MODERN,BULTE GIDA TURIZM PAZ.SAN. VE TIC.LTD.STI.,NO 203,Kokteyl Bar,'40.97393044,'29.05560624,"92,5251","79,8198",D2-A,Zürafa no203 Kitchen & Cocktail Bar,55
1000027077,Istanbul Anadolu,KADIKÖY,MODERN,SAVASLI INS.TURZ.GIDA VE A.S.,FACES,Modern Pub & Bistro,'40.98861520,'29.02366089,"64,4625","52,4773",D4-C,Last Ship,55
968864,Istanbul Anadolu,KADIKÖY,MODERN,MODA YATCILIK GOSTERI HIZMETLERI TURIZM TIC.A.S.,MODA KAYIKHANE ,Tekne-Event Hall-Catering,'40.97945101,'29.02415132,"92,4008","93,9198",D1-A,Moda Kayıkhane Event Hall,53
1000016533,Istanbul Anadolu,KADIKÖY,TRADITIONAL,GLM TURIZM VE TICARET LTD.STI.,ZEVK LOKANTA,Geleneksel Meyhane,'40.98561178,'29.02764282,"80,5842","93,7952",R1-B,Zevk Lokanta,53
